uniprot,pdb,name,resolution,method,ok,reason,n_ca,n_chains,n_span,n_dropped,contam_flag,size_cv,c0_invnm,A_foot_nm2,r_out,r_in,r_mid
Q02380,7QSM,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial",2.3,EM,True,,8265,1.0,21.0,20.0,True,0.0,-0.0107239848875503,31.894064539999995,30.23785486002093,31.057918266734475,31.862510970835103
P82251,6LI9,"b(0,+)-type amino acid transporter 1",2.3,EM,True,,2166,2.0,4.0,2.0,True,0.0,-0.0789554805079119,1.75308692,6.377853559768521,7.793387578544948,7.470106411393965
P77211,3PIK,Cation efflux system protein cusC,2.3,X-ray,True,,1287,3.0,3.0,0.0,False,0.0,-0.0622353327295757,8.605556665,16.566130993441597,19.038212612442887,16.550630690654394
P15647,3VVK,Halorhodopsin,2.3,X-ray,True,,778,3.0,3.0,0.0,False,0.005,-0.0007103639155268,19.842064265,24.802450392552664,24.845296426121603,25.13150456666614
P15690,7QSM,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial",2.3,EM,True,,8265,1.0,21.0,20.0,True,0.0,-0.0107239848875503,31.894064539999995,30.23785486002093,31.057918266734475,31.862510970835103
P18509,8E3Y,Pituitary adenylate cyclase-activating polypeptide,2.3,EM,True,,1140,1.0,1.0,0.0,False,0.0,0.0167439988610331,4.573325775000002,12.482425658637109,11.997571013625924,12.065383570038902
P18531,1EZV,HEAVY CHAIN (VH) OF FV-FRAGMENT,2.3,X-ray,True,,4122,2.0,10.0,8.0,True,0.0,0.0491127530608309,23.42942454000001,29.223526196563498,26.00459720894277,27.30900484946149
P21359,2D4Q,Neurofibromin,2.3,X-ray,False,no_TM_span,257,0.0,,,,,,,,,
P69447,6TQJ,"ATP synthase subunit c, chloroplastic",2.3,X-ray,True,,1160,14.0,14.0,0.0,False,0.004,0.0280503230095681,19.850054335000003,26.32359529285486,24.631382312730157,25.13656407728772
Q03736,1M56,CYTOCHROME C OXIDASE,2.3,X-ray,True,,1115,1.0,4.0,3.0,True,0.0,0.0200932554215841,10.279037605000005,18.30247444337011,17.430180538718478,18.088447390880333
B1YFV8,4HYJ,Rhodopsin,2.3,X-ray,True,,236,1.0,1.0,0.0,False,0.0,0.0101693494290979,4.300611305000001,11.37139211936274,11.085833961369929,11.7001157900906
Q02375,7QSM,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial",2.3,EM,True,,8265,1.0,21.0,20.0,True,0.0,-0.0107239848875503,31.894064539999995,30.23785486002093,31.057918266734475,31.862510970835103
Q02376,7QSM,"NADH dehydrogenase [ubiquinone] 1 subunit C1, mitochondrial",2.3,EM,True,,8265,1.0,21.0,20.0,True,0.0,-0.0107239848875503,31.894064539999995,30.23785486002093,31.057918266734475,31.862510970835103
P68183,3PUW,Maltose transport system permease protein malG,2.3,X-ray,True,,1892,1.0,2.0,1.0,True,0.0,0.0260319823733518,11.854469435,19.357966205426745,18.144340944393328,19.42522796938063
Q9NA73,5EIK,Uncharacterized protein Y57A10A.28,2.3,X-ray,True,,702,3.0,3.0,0.0,False,0.0,0.0168132452334934,26.583133705,32.07907192152948,30.905280474328784,29.088957121297835
P00735,1NL2,Prothrombin,2.3,X-ray,False,no_TM_span,153,0.0,,,,,,,,,
P00743,1IOD,COAGULATION FACTOR X GLA DOMAIN,2.3,X-ray,False,no_TM_span,52,0.0,,,,,,,,,
P08165,1E6E,NADPH\:ADRENODOXIN OXIDOREDUCTASE,2.3,X-ray,False,no_TM_span,570,0.0,,,,,,,,,
P08172,5ZKC,"Muscarinic acetylcholine receptor M2,Apo-cytochrome b562,Muscarinic acetylcholine receptor M2",2.3,X-ray,True,,279,1.0,1.0,0.0,False,0.0,0.0633974693646825,5.263288224999999,13.41953044716803,11.45011742839634,12.943556991230174
Q72CX3,3K3F,Urea transporter,2.3,X-ray,True,,996,3.0,3.0,0.0,False,0.0,-0.0004274937300172,29.858761715000004,30.615369632388692,30.646999833352,30.82910806865904
P14170,1PCV,osmotin,2.3,X-ray,False,no_TM_span,205,0.0,,,,,,,,,
Q72EF3,2J7A,CYTOCHROME C NITRITE REDUCTASE NRFA,2.3,X-ray,True,,2279,2.0,2.0,0.0,False,0.0,0.3969514833175833,0.47200426,6.763686739567251,3.070964060473346,3.8761272202917225
Q72EF4,2J7A,CYTOCHROME C QUINOL DEHYDROGENASE NRFH,2.3,X-ray,True,,2279,2.0,2.0,0.0,False,0.0,0.3969514833175833,0.47200426,6.763686739567251,3.070964060473346,3.8761272202917225
Q6VVX0,3CZH,Cytochrome P450 2R1,2.3,X-ray,False,no_TM_span,465,0.0,,,,,,,,,
P23934,7QSM,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial",2.3,EM,True,,8265,1.0,21.0,20.0,True,0.0,-0.0107239848875503,31.894064539999995,30.23785486002093,31.057918266734475,31.862510970835103
P23935,7QSM,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5,2.3,EM,True,,8265,1.0,21.0,20.0,True,0.0,-0.0107239848875503,31.894064539999995,30.23785486002093,31.057918266734475,31.862510970835103
Q9IAM1,1IOD,COAGULATION FACTOR X BINDING PROTEIN,2.3,X-ray,False,no_TM_span,52,0.0,,,,,,,,,
Q0JRZ9,2V0O,FCH DOMAIN ONLY PROTEIN 2,2.3,X-ray,False,no_TM_span,544,0.0,,,,,,,,,
Q07837,6LI9,Neutral and basic amino acid transport protein rBAT,2.3,EM,True,,2166,2.0,4.0,2.0,True,0.0,-0.0789554805079119,1.75308692,6.377853559768521,7.793387578544948,7.470106411393965
P68187,3PUW,Maltose/maltodextrin import ATP-binding protein MalK,2.3,X-ray,True,,1892,1.0,2.0,1.0,True,0.0,0.0260319823733518,11.854469435,19.357966205426745,18.144340944393328,19.42522796938063
P63034,1U27,Cytohesin 2,2.3,X-ray,False,no_TM_span,119,0.0,,,,,,,,,
P63045,1KIL,Synaptobrevin SNARE motif,2.3,X-ray,False,no_TM_span,305,0.0,,,,,,,,,
Q05652,1IK7,PROBABLE SERINE/THREONINE-PROTEIN KINASE Pelle,2.3,X-ray,False,no_TM_span,52,0.0,,,,,,,,,
Q05752,7QSM,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7,2.3,EM,True,,8265,1.0,21.0,20.0,True,0.0,-0.0107239848875503,31.894064539999995,30.23785486002093,31.057918266734475,31.862510970835103
P23709,7QSM,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial",2.3,EM,True,,8265,1.0,21.0,20.0,True,0.0,-0.0107239848875503,31.894064539999995,30.23785486002093,31.057918266734475,31.862510970835103
A0A977XLG0,8I2Z,Xanthorhodopsin,2.3,EM,True,,1270,5.0,5.0,0.0,False,0.0,0.0260498571655678,40.91479520499999,37.38370538571482,35.12748331851775,36.08820278835821
Q7Z4H4,6UVA,Protein ADM2,2.3,EM,True,,1199,1.0,2.0,1.0,True,0.0,0.0271380706544663,4.839480179999999,12.698237203146192,11.88985893086251,12.411504281449975
O29988,4KPP,Putative uncharacterized protein,2.3,X-ray,True,,396,1.0,1.0,0.0,False,0.0,0.0139014431569703,10.38825446,18.216642641325432,17.609951738116486,18.184290183592143
P25708,7QSM,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial",2.3,EM,True,,8265,1.0,21.0,20.0,True,0.0,-0.0107239848875503,31.894064539999995,30.23785486002093,31.057918266734475,31.862510970835103
P09545,1XEZ,hemolysin,2.3,X-ray,False,no_TM_span,663,0.0,,,,,,,,,
P09683,6WZG,Secretin,2.3,EM,True,,1165,1.0,1.0,0.0,False,0.0,0.0749020745952261,4.55083784,12.990582642116255,10.826988323503071,12.035683091919992
P00590,1OXM,CUTINASE,2.3,X-ray,False,no_TM_span,196,0.0,,,,,,,,,
A5W3Z9,4RL8,Protein involved in meta-pathway of phenol degradation-like protein,2.3,X-ray,True,,267,1.0,1.0,0.0,False,0.0,0.015368904155775,4.825544484999998,12.476209343320576,12.01906603240822,12.393621406978545
Q16602,6UVA,Calcitonin gene-related peptide type 1 receptor,2.3,EM,True,,1199,1.0,2.0,1.0,True,0.0,0.0271380706544663,4.839480179999999,12.698237203146192,11.88985893086251,12.411504281449975
P00257,1E6E,ADRENODOXIN,2.3,X-ray,False,no_TM_span,570,0.0,,,,,,,,,
Q15642,2EFK,Cdc42-interacting protein 4,2.3,X-ray,False,no_TM_span,546,0.0,,,,,,,,,
P60880,1KIL,SNAP-25 C-terminal SNARE motif,2.3,X-ray,False,no_TM_span,305,0.0,,,,,,,,,
P60932,6FMV,Undecaprenyl-diphosphatase,2.3,X-ray,True,,277,1.0,1.0,0.0,False,0.0,0.0306377826960615,6.492311645,14.513634818477422,13.456590207935644,14.375559052745214
D6WJ77,5V7P,Protein-S-isoprenylcysteine O-methyltransferase,2.3,X-ray,True,,285,1.0,1.0,0.0,False,0.0,-0.0824371244956362,6.367466175000001,11.500816948100338,14.31752907346138,14.236668969402173
P25712,7QSM,"NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial",2.3,EM,True,,8265,1.0,21.0,20.0,True,0.0,-0.0107239848875503,31.894064539999995,30.23785486002093,31.057918266734475,31.862510970835103
P26349,3C59,Exendin-4,2.3,X-ray,False,no_TM_span,130,0.0,,,,,,,,,
A0ACD6BAR6,2RGH,Alpha-Glycerophosphate Oxidase,2.3,X-ray,False,no_TM_span,546,0.0,,,,,,,,,
Q63707,1UUM,DIHYDROOROTATE DEHYDROGENASE,2.3,X-ray,False,no_TM_span,350,0.0,,,,,,,,,
Q60932,3EMN,Voltage-dependent anion-selective channel protein 1,2.3,X-ray,True,,283,1.0,1.0,0.0,False,0.0,-0.0013242229191497,10.90588828,18.45326630965383,18.51248079074349,18.63183312811688
Q61194,2B3R,Phosphatidylinositol-4-phosphate 3-kinase C2 domain-containing alpha polypeptide,2.3,X-ray,False,no_TM_span,248,0.0,,,,,,,,,
O97725,7QSM,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12,2.3,EM,True,,8265,1.0,21.0,20.0,True,0.0,-0.0107239848875503,31.894064539999995,30.23785486002093,31.057918266734475,31.862510970835103
P56601,2IVD,PROTOPORPHYRINOGEN OXIDASE,2.3,X-ray,False,no_TM_span,449,0.0,,,,,,,,,
Q26710,3W54,"Alternative oxidase, mitochondrial",2.3,X-ray,False,no_TM_span,528,0.0,,,,,,,,,
O97148,1FJR,METHUSELAH ECTODOMAIN,2.3,X-ray,False,no_TM_span,188,0.0,,,,,,,,,
Q9BUL8,3AJM,Programmed cell death protein 10,2.3,X-ray,False,no_TM_span,391,0.0,,,,,,,,,
P58743,7LGU,Prestin,2.3,EM,True,,1360,2.0,2.0,0.0,False,0.0,0.0158436243057911,30.66488107,31.58826281854322,30.40027637918635,31.24249478391759
P55776,6I8X,Fatty acid-binding protein homolog,2.3,X-ray,False,no_TM_span,149,0.0,,,,,,,,,
P52754,2GVM,Hydrophobin-1,2.3,X-ray,False,no_TM_span,70,0.0,,,,,,,,,
P32241,8E3Y,Vasoactive intestinal polypeptide receptor 1,2.3,EM,True,,1140,1.0,1.0,0.0,False,0.0,0.0167439988610331,4.573325775000002,12.482425658637109,11.997571013625924,12.065383570038902
P53848,2BMB,FOLIC ACID SYNTHESIS PROTEIN FOL1,2.3,X-ray,False,no_TM_span,513,0.0,,,,,,,,,
Q9DEF8,1IOD,COAGULATION FACTOR X BINDING PROTEIN,2.3,X-ray,False,no_TM_span,52,0.0,,,,,,,,,
P29183,1HPL,LIPASE,2.3,X-ray,False,no_TM_span,450,0.0,,,,,,,,,
O43924,1KSG,"RETINAL ROD RHODOPSIN-SENSITIVE CGMP 3',5'-CYCLIC PHOSPHODIESTERASE DELTA-SUBUNIT",2.3,X-ray,False,no_TM_span,308,0.0,,,,,,,,,
Q8HXG5,7QSM,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial",2.3,EM,True,,8265,1.0,21.0,20.0,True,0.0,-0.0107239848875503,31.894064539999995,30.23785486002093,31.057918266734475,31.862510970835103
Q8HXG6,7QSM,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11,2.3,EM,True,,8265,1.0,21.0,20.0,True,0.0,-0.0107239848875503,31.894064539999995,30.23785486002093,31.057918266734475,31.862510970835103
P32019,4CML,"TYPE II INOSITOL 1,4,5-TRISPHOSPHATE 5- PHOSPHATASE, ISOFORM 2",2.3,X-ray,False,no_TM_span,312,0.0,,,,,,,,,
P47872,6WZG,Secretin receptor,2.3,EM,True,,1165,1.0,1.0,0.0,False,0.0,0.0749020745952261,4.55083784,12.990582642116255,10.826988323503071,12.035683091919992
P34942,7QSM,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",2.3,EM,True,,8265,1.0,21.0,20.0,True,0.0,-0.0107239848875503,31.894064539999995,30.23785486002093,31.057918266734475,31.862510970835103
P34943,7R41,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial",2.3,EM,True,,8194,1.0,20.0,19.0,True,0.0,-0.008508863053707,30.583298595,30.18768561953059,30.824847817513977,31.20090751067881
P48305,7QSM,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4,2.3,EM,True,,8265,1.0,21.0,20.0,True,0.0,-0.0107239848875503,31.894064539999995,30.23785486002093,31.057918266734475,31.862510970835103
Q99808,6OB7,Equilibrative nucleoside transporter 1,2.3,X-ray,True,,381,1.0,1.0,0.0,False,0.0,0.0285572410255406,7.712714514999999,15.459182263665078,14.385301209232637,15.66854581458573
Q99385,4K1C,Vacuolar calcium ion transporter,2.3,X-ray,True,,379,1.0,1.0,0.0,False,0.0,-0.0218503461389649,9.502506749999998,16.081201953347126,16.993241604754694,17.391784963175006
P52505,7QSM,"Acyl carrier protein, mitochondrial",2.3,EM,True,,8265,1.0,21.0,20.0,True,0.0,-0.0107239848875503,31.894064539999995,30.23785486002093,31.057918266734475,31.862510970835103
P50172,1Y5M,"Corticosteroid 11-beta-dehydrogenase, isozyme 1",2.3,X-ray,False,no_TM_span,530,0.0,,,,,,,,,
P42287,6PJ4,Peptide aldehyde inhibitor,2.3,X-ray,True,,183,1.0,1.0,0.0,False,0.0,0.0226693041225127,4.995979205000001,11.555266638918,10.869170768696636,12.610589090602131
P33517,1M56,CYTOCHROME C OXIDASE,2.3,X-ray,True,,1115,1.0,4.0,3.0,True,0.0,0.0200932554215841,10.279037605000005,18.30247444337011,17.430180538718478,18.088447390880333
P32851,1KIL,Syntaxin SNARE motif short,2.3,X-ray,False,no_TM_span,305,0.0,,,,,,,,,
Q62420,1ZWW,SH3-containing GRB2-like protein 2,2.3,X-ray,False,no_TM_span,395,0.0,,,,,,,,,
Q8RUT8,3UG9,"Archaeal-type opsin 1, Archaeal-type opsin 2",2.3,X-ray,True,,562,2.0,2.0,0.0,False,0.0,7.91202449008466e-05,11.756132030000002,19.15381579782435,19.150142499880918,19.344490296802643
P11169,7CRZ,"Solute carrier family 2, facilitated glucose transporter member 3",2.3,X-ray,True,,471,1.0,1.0,0.0,False,0.0,0.0187397438533593,8.180800175000002,16.01375118897703,15.287983134880122,16.137005833166775
G2FID1,6FL9,Cys-loop ligand-gated ion channel,2.3,X-ray,True,,1550,5.0,5.0,0.0,False,0.0,0.0798725967162541,23.3051928,29.43139981037239,24.21031846893448,27.23650724241142
Q5QUJ8,3TX3,Uncharacterized protein involved in cysteine biosynthesis,2.3,X-ray,True,,227,1.0,1.0,0.0,False,0.0,-0.250603542151075,6.933229835000001,3.706068742667496,12.641001927117893,14.855691164213503
P45723,4F2T,1-phosphatidylinositol phosphodiesterase,2.3,X-ray,False,no_TM_span,304,0.0,,,,,,,,,
Q95KV7,7QSM,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13,2.3,EM,True,,8265,1.0,21.0,20.0,True,0.0,-0.0107239848875503,31.894064539999995,30.23785486002093,31.057918266734475,31.862510970835103
P42210,1QDM,PROPHYTEPSIN,2.3,X-ray,False,no_TM_span,430,0.0,,,,,,,,,
P42029,7QSM,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8,2.3,EM,True,,8265,1.0,21.0,20.0,True,0.0,-0.0107239848875503,31.894064539999995,30.23785486002093,31.057918266734475,31.862510970835103
Q45Z29,1P7O,PHOSPHOLIPASE A2,2.3,X-ray,False,no_TM_span,124,0.0,,,,,,,,,
Q48152,2GR7,Adhesin,2.3,X-ray,True,,303,3.0,3.0,0.0,False,0.0,0.0083399030003153,4.133539639999998,11.179851257277928,10.950258407731752,11.470599515040991
Q5G290,1Y75,phospholipase A2 isoform 6,2.3,X-ray,False,no_TM_span,118,0.0,,,,,,,,,
Q5SIA2,5BZ3,Na(+)/H(+) antiporter,2.3,X-ray,True,,772,2.0,2.0,0.0,False,0.0,0.036139476592029,23.071816865,29.095092808715957,26.74459927024623,27.099792250774566
P03887,7QSM,NADH-ubiquinone oxidoreductase chain 1,2.3,EM,True,,8265,1.0,21.0,20.0,True,0.0,-0.0107239848875503,31.894064539999995,30.23785486002093,31.057918266734475,31.862510970835103
Q59646,3WFD,Nitric oxide reductase subunit C,2.3,X-ray,True,,592,1.0,2.0,1.0,True,0.0,0.0289820235809686,10.100680095,18.081594860335517,16.834382750208704,17.930829125889105
Q5G291,1Y75,phospholipase A2 isoform 5,2.3,X-ray,False,no_TM_span,118,0.0,,,,,,,,,
O60896,6UVA,Receptor activity-modifying protein 3,2.3,EM,True,,1199,1.0,2.0,1.0,True,0.0,0.0271380706544663,4.839480179999999,12.698237203146192,11.88985893086251,12.411504281449975
Q57727,6M31,Digeranylgeranylglyceryl phosphate synthase,2.3,X-ray,True,,560,2.0,2.0,0.0,False,0.0,-0.0960173052447453,20.9230447,20.737805890811792,26.684810293288567,25.806999006229617
P42028,7QSM,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",2.3,EM,True,,8265,1.0,21.0,20.0,True,0.0,-0.0107239848875503,31.894064539999995,30.23785486002093,31.057918266734475,31.862510970835103
P41586,8E3X,Pituitary adenylate cyclase-activating polypeptide type I receptor,2.3,EM,True,,1140,1.0,1.0,0.0,False,0.0,0.0431846866988763,4.676595865,13.358399807930036,12.093864386066471,12.200847091557764
P42026,7QSM,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial",2.3,EM,True,,8265,1.0,21.0,20.0,True,0.0,-0.0107239848875503,31.894064539999995,30.23785486002093,31.057918266734475,31.862510970835103
A0A0H2V8D3,7MDF,Beta-lactamase,2.3,X-ray,True,,918,2.0,2.0,0.0,False,0.0,-0.009131397011163,7.355785570000002,14.069641945816944,14.404984031325649,15.301696858777037
P04394,7QSM,"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial",2.3,EM,True,,8265,1.0,21.0,20.0,True,0.0,-0.0107239848875503,31.894064539999995,30.23785486002093,31.057918266734475,31.862510970835103
Q59647,3WFD,Nitric oxide reductase subunit B,2.3,X-ray,True,,592,1.0,2.0,1.0,True,0.0,0.0289820235809686,10.100680095,18.081594860335517,16.834382750208704,17.930829125889105
P02975,3SOK,Fimbrial protein,2.3,X-ray,True,,151,1.0,1.0,0.0,False,0.0,-0.0118906354985296,0.089726315,1.417693940265122,1.465922166286817,1.689993287422792
S5UH55,7MBQ,Transient receptor potential melastatin 5,2.3,EM,True,,3992,4.0,4.0,0.0,False,0.0,-0.0884133668185683,51.04221442499999,38.40889408671589,46.96190425189951,40.30786705370353
P03902,7R41,NADH-ubiquinone oxidoreductase chain 4L,2.3,EM,True,,8194,1.0,20.0,19.0,True,0.0,-0.008508863053707,30.583298595,30.18768561953059,30.824847817513977,31.20090751067881
P03898,7R41,NADH-ubiquinone oxidoreductase chain 3,2.3,EM,True,,8194,1.0,20.0,19.0,True,0.0,-0.008508863053707,30.583298595,30.18768561953059,30.824847817513977,31.20090751067881
P03892,7QSM,NADH-ubiquinone oxidoreductase chain 2,2.3,EM,True,,8265,1.0,21.0,20.0,True,0.0,-0.0107239848875503,31.894064539999995,30.23785486002093,31.057918266734475,31.862510970835103
Q02374,7QSM,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 2, mitochondrial",2.3,EM,True,,8265,1.0,21.0,20.0,True,0.0,-0.0107239848875503,31.894064539999995,30.23785486002093,31.057918266734475,31.862510970835103
Q02371,7QSM,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3,2.3,EM,True,,8265,1.0,21.0,20.0,True,0.0,-0.0107239848875503,31.894064539999995,30.23785486002093,31.057918266734475,31.862510970835103
Q02372,7QSM,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial",2.3,EM,True,,8265,1.0,21.0,20.0,True,0.0,-0.0107239848875503,31.894064539999995,30.23785486002093,31.057918266734475,31.862510970835103
P03910,7QSM,NADH-ubiquinone oxidoreductase chain 4,2.3,EM,True,,8265,1.0,21.0,20.0,True,0.0,-0.0107239848875503,31.894064539999995,30.23785486002093,31.057918266734475,31.862510970835103
P03920,7QSM,NADH-ubiquinone oxidoreductase chain 5,2.3,EM,True,,8265,1.0,21.0,20.0,True,0.0,-0.0107239848875503,31.894064539999995,30.23785486002093,31.057918266734475,31.862510970835103
P87666,5F1B,GP2,2.3,X-ray,False,no_TM_span,460,0.0,,,,,,,,,
Q02369,7QSM,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9,2.3,EM,True,,8265,1.0,21.0,20.0,True,0.0,-0.0107239848875503,31.894064539999995,30.23785486002093,31.057918266734475,31.862510970835103
Q02370,7QSM,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2,2.3,EM,True,,8265,1.0,21.0,20.0,True,0.0,-0.0107239848875503,31.894064539999995,30.23785486002093,31.057918266734475,31.862510970835103
P03924,7QSM,NADH-ubiquinone oxidoreductase chain 6,2.3,EM,True,,8265,1.0,21.0,20.0,True,0.0,-0.0107239848875503,31.894064539999995,30.23785486002093,31.057918266734475,31.862510970835103
Q02373,7QSM,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10,2.3,EM,True,,8265,1.0,21.0,20.0,True,0.0,-0.0107239848875503,31.894064539999995,30.23785486002093,31.057918266734475,31.862510970835103
Q9WY99,6L85,Phosphate transporter,2.302,X-ray,True,,801,2.0,2.0,0.0,False,0.001,0.0211425600349977,23.50727823,27.399447327263296,26.01142947590715,27.354339798068608
Q96PS8,6F7H,Aquaporin-10,2.304,X-ray,True,,1013,4.0,4.0,0.0,False,0.006,-0.0203279515963387,30.354037765,29.86151811486244,31.37800325251016,31.08374222354129
Q96E22,6W2L,Dehydrodolichyl diphosphate synthase complex subunit NUS1,2.306,X-ray,False,no_TM_span,523,0.0,,,,,,,,,
Q86SQ9,6W2L,Dehydrodolichyl diphosphate synthase complex subunit DHDDS,2.306,X-ray,False,no_TM_span,523,0.0,,,,,,,,,
Q05093,7ZQC,"Chlorophyll a-b binding protein, chloroplastic",2.31,EM,True,,4165,2.0,17.0,15.0,True,0.006,0.0277001580725664,38.915261770000015,36.60039826146295,34.2605993702284,35.195330009563946
Q75VZ0,7ZQC,"Chlorophyll a-b binding protein, chloroplastic (Lhca4)",2.31,EM,True,,4165,2.0,17.0,15.0,True,0.006,0.0277001580725664,38.915261770000015,36.60039826146295,34.2605993702284,35.195330009563946
P09144,7ZQC,Photosystem I P700 chlorophyll a apoprotein A2,2.31,EM,True,,4165,2.0,17.0,15.0,True,0.006,0.0277001580725664,38.915261770000015,36.60039826146295,34.2605993702284,35.195330009563946
A8IL32,7ZQC,PSI subunit V,2.31,EM,True,,4165,2.0,17.0,15.0,True,0.006,0.0277001580725664,38.915261770000015,36.60039826146295,34.2605993702284,35.195330009563946
P14225,7ZQC,"Photosystem I reaction center subunit psaK, chloroplastic",2.31,EM,True,,4165,2.0,17.0,15.0,True,0.006,0.0277001580725664,38.915261770000015,36.60039826146295,34.2605993702284,35.195330009563946
P59777,7ZQC,Photosystem I reaction center subunit IX,2.31,EM,True,,4165,2.0,17.0,15.0,True,0.006,0.0277001580725664,38.915261770000015,36.60039826146295,34.2605993702284,35.195330009563946
P14224,7ZQC,"Photosystem I reaction center subunit V, chloroplastic",2.31,EM,True,,4165,2.0,17.0,15.0,True,0.006,0.0277001580725664,38.915261770000015,36.60039826146295,34.2605993702284,35.195330009563946
A8IFG7,7ZQC,Photosystem I reaction center subunit VIII,2.31,EM,True,,4165,2.0,17.0,15.0,True,0.006,0.0277001580725664,38.915261770000015,36.60039826146295,34.2605993702284,35.195330009563946
P12356,7ZQC,"Photosystem I reaction center subunit III, chloroplastic",2.31,EM,True,,4165,2.0,17.0,15.0,True,0.006,0.0277001580725664,38.915261770000015,36.60039826146295,34.2605993702284,35.195330009563946
P12154,7ZQC,Photosystem I P700 chlorophyll a apoprotein A1,2.31,EM,True,,4165,2.0,17.0,15.0,True,0.006,0.0277001580725664,38.915261770000015,36.60039826146295,34.2605993702284,35.195330009563946
Q39615,7ZQC,"Photosystem I reaction center subunit II, chloroplastic",2.31,EM,True,,4165,2.0,17.0,15.0,True,0.006,0.0277001580725664,38.915261770000015,36.60039826146295,34.2605993702284,35.195330009563946
Q00914,7ZQC,Photosystem I iron-sulfur center,2.31,EM,True,,4165,2.0,17.0,15.0,True,0.006,0.0277001580725664,38.915261770000015,36.60039826146295,34.2605993702284,35.195330009563946
P12352,7ZQC,"Photosystem I reaction center subunit IV, chloroplastic",2.31,EM,True,,4165,2.0,17.0,15.0,True,0.006,0.0277001580725664,38.915261770000015,36.60039826146295,34.2605993702284,35.195330009563946
Q9I6P8,3SZD,porin,2.311,X-ray,True,,372,1.0,1.0,0.0,False,0.0,-0.0329745125423885,10.860828565000002,18.101618840551264,19.57307107490569,18.593302838352344
A0A0H3AME7,6EHE,OmpT protein,2.312,X-ray,True,,303,1.0,1.0,0.0,False,0.0,-0.0022512424063984,8.93261416,16.693181875598274,16.78428805905343,16.862204472112527
Q58026,3GIA,Uncharacterized protein MJ0609,2.32,X-ray,True,,433,1.0,1.0,0.0,False,0.0,-0.0178065958274444,10.30608645,17.06518420222426,17.839225437160124,18.11223123996546
Q841A2,4B7O,IRON-REGULATED OUTER MEMBRANE PROTEIN,2.32,X-ray,True,,649,1.0,1.0,0.0,False,0.0,-0.0092689887548785,14.618636895000003,20.89942232790753,21.379290670632383,21.57140849877359
Q9HY38,4FSP,Probable porin,2.323,X-ray,True,,364,1.0,1.0,0.0,False,0.0,-0.0358778639299444,10.95695591,18.057968072280257,19.666048776817533,18.675404650590337
P57758,7ZKZ,Cystinosin homolog,2.329,X-ray,True,,482,1.0,1.0,0.0,False,0.0,-0.0586246123336152,5.1683936500000005,11.16937146172737,12.974026013956436,12.826343183014115
Q9X6A5,3EFM,Ferric alcaligin siderophore receptor,2.33,X-ray,True,,572,1.0,1.0,0.0,False,0.0,-0.01070309180022,14.170591825,20.972973125888643,21.51852939417705,21.238266103834142
O14842,4PHU,"Free fatty acid receptor 1,Lysozyme",2.332,X-ray,True,,437,1.0,1.0,0.0,False,0.0,0.0498134025660189,4.869420445,12.545371599746511,11.05696649594812,12.449838021552624
Q8NFK1,6L3T,Gap junction gamma-3 protein,2.34,EM,True,,1206,6.0,6.0,0.0,False,0.0,-0.0609258780524337,33.57213347999999,31.133772844604447,35.91376928082684,32.689970919176154
P53860,4FMM,Phosphatidylinositol transfer protein PDR16,2.34,X-ray,False,no_TM_span,325,0.0,,,,,,,,,
Q9SV68,5A3V,"PUTATIVE QUINONE-OXIDOREDUCTASE HOMOLOG, CHLOROPLASTIC",2.34,X-ray,False,no_TM_span,334,0.0,,,,,,,,,
Q16696,2P85,Cytochrome P450 2A13,2.35,X-ray,False,no_TM_span,464,0.0,,,,,,,,,
