uniprot,entity,pdb,name,resolution,method
Q61644,2X3V_1,2X3V,PROTEIN KINASE C AND CASEIN KINASE SUBSTRATE IN NEURONS PROTEIN 1,2.45,X-ray
P00617,1BUN_1,1BUN,BETA2-BUNGAROTOXIN,2.45,X-ray
O53585,4FIX_1,4FIX,UDP-galactofuranosyl transferase GlfT2,2.45,X-ray
P11716,7TZC_3,7TZC,Ryanodine receptor 1,2.45,EM
Q9BSA9,7UNL_1,7UNL,Endosomal/lysosomal potassium channel TMEM175,2.45,EM
Q96LB1,7S8L_1,7S8L,Mas-related G-protein coupled receptor member X2,2.45,EM
P20789,6YVR_1,6YVR,"Neurotensin receptor type 1,Neurotensin receptor type 1,DARPin crystallisation chaperone",2.458,X-ray
A0R206,7NJS_6,7NJS,ATP synthase subunit a,2.46,EM
A0R200,7NJS_2,7NJS,ATP synthase subunit beta,2.46,EM
P02703,1LPB_1,1LPB,COLIPASE,2.46,X-ray
A0R1Z9,7NJS_4,7NJS,ATP synthase epsilon chain,2.46,EM
A0R205,7NJS_5,7NJS,ATP synthase subunit c,2.46,EM
A0R204,7NJS_7,7NJS,ATP synthase subunit b,2.46,EM
A0R203,7NJS_8,7NJS,ATP synthase subunit b-delta,2.46,EM
A0R201,7NJS_3,7NJS,ATP synthase gamma chain,2.46,EM
G4SZ64,7S4L_1,7S4L,"Particulate methane monooxygenase, B subunit",2.46,EM
G4SZ62,7S4L_3,7S4L,"Particulate methane monooxygenase, C subunit",2.46,EM
G4SZ63,7S4L_2,7S4L,"Particulate methane monooxygenase, A subunit",2.46,EM
A0R202,7NJS_1,7NJS,ATP synthase subunit alpha,2.46,EM
Q9VKJ9,6EI6_1,6EI6,Coiled-coil and C2 domain-containing protein 1-like,2.461,X-ray
Q9ALY0,5O9C_1,5O9C,Osmoporin Omp36,2.469,X-ray
Q9WTR1,7XER_1,7XER,Transient receptor potential cation channel subfamily V member 2,2.47,EM
Q9JZN9,4RDR_1,4RDR,ZnuD,2.472,X-ray
Q7BSW5,3SLJ_1,3SLJ,Serine protease espP,2.481,X-ray
P19099,4DVQ_1,4DVQ,"Cytochrome P450 11B2, mitochondrial",2.49,X-ray
P18239,4C9G_1,4C9G,"ADP, ATP CARRIER PROTEIN 2",2.49,X-ray
A0A0C7CQY7,8B43_1,8B43,Metal-pseudopaline receptor CntO,2.49,X-ray
B5Z8H1,6QFA_2,6QFA,"Outer membrane protein,Outer membrane protein,Outer membrane protein,Outer membrane protein,Uncharacterized protein,Uncharacterized protein,Mb-c7HopQ-Nb25",2.49,EM
Q99963,2Z0V_1,2Z0V,SH3-containing GRB2-like protein 3,2.49,X-ray
P28321,4ZWN_1,4ZWN,Monoglyceride lipase,2.491,X-ray
P0A071,3B07_2,3B07,Gamma-hemolysin component A,2.495,X-ray
Q99735,6SSS_1,6SSS,Microsomal glutathione S-transferase 2,2.498,X-ray
O33407,3KVN_1,3KVN,Esterase estA,2.499,X-ray
P01544,2PLH_1,2PLH,ALPHA-1-PUROTHIONIN,2.5,X-ray
P31356,2Z73_1,2Z73,Rhodopsin,2.5,X-ray
E0SJQ4,7L6Q_1,7L6Q,Gamma-aminobutyric-acid receptor subunit beta-1,2.5,EM
P02712,7QL5_2,7QL5,Acetylcholine receptor subunit beta,2.5,EM
P33136,1TXK_1,1TXK,Glucans biosynthesis protein G,2.5,X-ray
P02710,7QL5_1,7QL5,Acetylcholine receptor subunit alpha,2.5,EM
O78747,6ZKA_2,6ZKA,NADH-ubiquinone oxidoreductase chain 1,2.5,EM
O79874,7V2H_41,7V2H,NADH-ubiquinone oxidoreductase chain 1,2.5,EM
O78757,6ZKA_3,6ZKA,NADH-ubiquinone oxidoreductase chain 6,2.5,EM
P61278,7T10_5,7T10,Somatostatin-14,2.5,EM
Q43998,1W18_1,1W18,LEVANSUCRASE,2.5,X-ray
P02978,2I88_1,2I88,Colicin-E1,2.5,X-ray
Q94KI8,7TBG_1,7TBG,Two pore calcium channel protein 1,2.5,EM
Q3J1A4,7PIL_1,7PIL,Light-harvesting protein B-875 alpha chain,2.5,EM
P03300,6HLV_2,6HLV,3A protein,2.5,X-ray
P07014,7JZ2_2,7JZ2,Succinate dehydrogenase iron-sulfur subunit,2.5,EM
P93157,3BRX_1,3BRX,Annexin,2.5,X-ray
P0AGM8,5XLS_1,5XLS,Uracil permease,2.5,X-ray
O78754,6ZKA_4,6ZKA,NADH-ubiquinone oxidoreductase chain 4L,2.5,EM
O78753,6ZKA_1,6ZKA,NADH-ubiquinone oxidoreductase chain 3,2.5,EM
O78748,6ZKA_7,6ZKA,NADH-ubiquinone oxidoreductase chain 2,2.5,EM
D9IEF7,7BVQ_1,7BVQ,"Endolysin,Beta-1 adrenergic receptor chimera",2.5,X-ray
Q3J170,7PIL_3,7PIL,Reaction center protein H chain,2.5,EM
Q3J1A3,7PIL_2,7PIL,Light-harvesting protein B-875 beta chain,2.5,EM
P48169,7QN5_1,7QN5,Gamma-aminobutyric acid receptor subunit alpha-4,2.5,EM
O79875,7V2H_32,7V2H,NADH-ubiquinone oxidoreductase chain 2,2.5,EM
O79880,7V2H_33,7V2H,NADH-ubiquinone oxidoreductase chain 3,2.5,EM
O79881,7V2H_40,7V2H,NADH-ubiquinone oxidoreductase chain 4,2.5,EM
Q5QNS5,2OR8_1,2OR8,Hepatitis A virus cellular receptor 1 homolog,2.5,X-ray
P00624,1PP2_1,1PP2,CALCIUM-FREE PHOSPHOLIPASE A2,2.5,X-ray
Q03431,6FJ3_1,6FJ3,"Parathyroid hormone/parathyroid hormone-related peptide receptor,Parathyroid hormone/parathyroid hormone-related peptide receptor,GlgA glycogen synthase,Parathyroid hormone/parathyroid hormone-related peptide receptor",2.5,X-ray
K7GSE5,7V2H_39,7V2H,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9,2.5,EM
P13402,7PIL_7,7PIL,Intrinsic membrane protein PufX,2.5,EM
Q6U7R4,3BIB_1,3BIB,T-cell immunoglobulin and mucin domain-containing protein 4,2.5,X-ray
Q9NP59,6WBV_2,6WBV,Solute carrier family 40 member 1,2.5,EM
P69054,7JZ2_3,7JZ2,Succinate dehydrogenase cytochrome b556 subunit,2.5,EM
Q9NQ11,7N72_1,7N72,Isoform 3 of Polyamine-transporting ATPase 13A2,2.5,EM
P06716,2HDI_2,2HDI,Colicin-Ia,2.5,X-ray
B6ZHF2,7VD5_18,7VD5,Photosystem II reaction center X protein,2.5,EM
B6ZHF4,7VD5_16,7VD5,Cytochrome c-550,2.5,EM
P17315,2HDI_1,2HDI,Colicin I receptor,2.5,X-ray
P07371,2BHW_1,2BHW,CHLOROPHYLL A-B BINDING PROTEIN AB80,2.5,X-ray
F1S031,7V2H_18,7V2H,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial",2.5,EM
P01452,1CDT_1,1CDT,CARDIOTOXIN VII4,2.5,X-ray
F1S1A8,7V2H_16,7V2H,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial",2.5,EM
P07237,6I7S_1,6I7S,Protein disulfide-isomerase,2.5,X-ray
P51787,7XNN_2,7XNN,Potassium voltage-gated channel subfamily KQT member 1,2.5,EM
A1XQS6,7V2H_29,7V2H,"NADH dehydrogenase [ubiquinone] 1 subunit C1, mitochondrial",2.5,EM
Q9TDR1,7V2H_35,7V2H,NADH-ubiquinone oxidoreductase chain 5,2.5,EM
P25714,3BLC_1,3BLC,Inner membrane protein oxaA,2.5,X-ray
O14764,7QN5_3,7QN5,Gamma-aminobutyric acid receptor subunit delta,2.5,EM
B3Y963,3AYF_1,3AYF,Nitric oxide reductase,2.5,X-ray
P17405,5I85_1,5I85,Sphingomyelin phosphodiesterase,2.5,X-ray
P07339,1LYB_2,1LYB,CATHEPSIN D,2.5,X-ray
F1SCH1,7V2H_43,7V2H,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7,2.5,EM
P63756,7DRJ_1,7DRJ,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,2.5,X-ray
P63212,7DUQ_5,7DUQ,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2,2.5,EM
A4D7H3,6NV1_1,6NV1,Matrix protein 2,2.5,X-ray
K7GR43,7V2H_17,7V2H,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1,2.5,EM
P35077,4QL0_1,4QL0,Filamentous hemagglutinin transporter protein FhaC,2.5,X-ray
Q5UXY6,4PXK_1,4PXK,Bacteriorhodopsin,2.5,X-ray
B0CB42,7COY_3,7COY,Photosystem I iron-sulfur center,2.5,EM
Q3TDN0,7RPI_1,7RPI,Protein dispatched homolog 1,2.5,EM
O07091,7Z6Q_3,7Z6Q,Cytochrome c,2.5,EM
O06139,7NKZ_1,7NKZ,Probable integral membrane cytochrome D ubiquinol oxidase (Subunit II) CydB (Cytochrome BD-I oxidase subunit II),2.5,EM
O79882,7V2H_36,7V2H,NADH-ubiquinone oxidoreductase chain 6,2.5,EM
Q6SLM0,1G2X_1,1G2X,PHOSPHOLIPASE A2,2.5,X-ray
P0AC41,7JZ2_1,7JZ2,Succinate dehydrogenase flavoprotein subunit,2.5,EM
Q7Z6B0,1OM9_2,1OM9,15-mer peptide fragment of p56,2.5,X-ray
O08967,1FHX_1,1FHX,GUANINE NUCLEOTIDE EXCHANGE FACTOR AND INTEGRIN BINDING PROTEIN HOMOLOG GRP1,2.5,X-ray
A0A679C261,7VD5_1,7VD5,Photosystem II protein D1,2.5,EM
A0A679C262,7VD5_11,7VD5,Photosystem II reaction center protein L,2.5,EM
A0A679C298,7VD5_9,7VD5,Photosystem II reaction center protein J,2.5,EM
O43752,2NPS_4,2NPS,Syntaxin-6,2.5,X-ray
Q60648,2AGC_1,2AGC,Ganglioside GM2 activator,2.5,X-ray
A0QR29,1UUN_1,1UUN,MSPA,2.5,X-ray
P00189,3MZS_1,3MZS,Cholesterol side-chain cleavage enzyme,2.5,X-ray
F1RGE3,7V2H_5,7V2H,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2,2.5,EM
A0A480KM09,7V2H_25,7V2H,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6,2.5,EM
Q96H15,5F7H_1,5F7H,T-cell immunoglobulin and mucin domain-containing protein 4,2.5,X-ray
P0C7B7,6HJX_5,6HJX,Cys-loop ligand-gated ion channel,2.5,X-ray
P02714,7QL5_4,7QL5,Acetylcholine receptor subunit gamma,2.5,EM
P02718,7QL5_3,7QL5,Acetylcholine receptor subunit delta,2.5,EM
O78756,6ZKA_5,6ZKA,NADH-ubiquinone oxidoreductase chain 5,2.5,EM
O78755,6ZKA_6,6ZKA,NADH-ubiquinone oxidoreductase chain 4,2.5,EM
Q3J1A6,7PIL_5,7PIL,Reaction center protein M chain,2.5,EM
Q9H813,7SQH_1,7SQH,Proton-activated chloride channel,2.5,EM
Q3J1A5,7PIL_4,7PIL,Reaction center protein L chain,2.5,EM
P45478,1EH5_1,1EH5,PALMITOYL PROTEIN THIOESTERASE 1,2.5,X-ray
B6ZHF0,7VD5_15,7VD5,Extrinsic protein in photosystem II,2.5,EM
A0A287BMW6,7V2H_28,7V2H,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial",2.5,EM
B7XBY7,7VD5_7,7VD5,Photosystem II reaction center protein H,2.5,EM
B6ZHE9,7VD5_20,7VD5,Extrinsic protein in photosystem II,2.5,EM
F1SV23,7V2H_31,7V2H,NADH dehydrogenase [ubiquinone] iron-sulfur protein 5,2.5,EM
F1SQP4,7V2H_13,7V2H,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12,2.5,EM
A0A4X1T6M0,7V2H_38,7V2H,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4,2.5,EM
A0A4X1SZP7,7V2H_1,7V2H,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial",2.5,EM
A0A679BVV7,7VD5_3,7VD5,Photosystem II CP43 reaction center protein,2.5,EM
A0A679BVT8,7VD5_8,7VD5,Photosystem II reaction center protein I,2.5,EM
A0A679BVT2,7VD5_17,7VD5,Photosystem II reaction center protein Ycf12,2.5,EM
A0A679BVT0,7VD5_6,7VD5,Cytochrome b559 subunit beta,2.5,EM
A0A5K1K910,5ILQ_1,5ILQ,Aspartate carbamoyltransferase,2.5,X-ray
A0A679C012,7VD5_4,7VD5,Photosystem II D2 protein,2.5,EM
A0A679BXP6,7VD5_31,7VD5,Chlorophyll a/b-binding protein,2.5,EM
A0A679BWI3,7VD5_10,7VD5,Photosystem II reaction center protein K,2.5,EM
P10635,4XRY_1,4XRY,Cytochrome P450 2D6,2.5,X-ray
O60989,1QS8_1,1QS8,PLASMEPSIN,2.5,X-ray
L7N662,7NKZ_2,7NKZ,Probable integral membrane cytochrome D ubiquinol oxidase (Subunit I) CydA (Cytochrome BD-I oxidase subunit I),2.5,EM
Q6J5N4,7KKA_1,7KKA,Putative fluoride ion transporter CrcB,2.5,X-ray
Q6QLL4,3G49_1,3G49,11-beta-hydroxysteroid dehydrogenase 1,2.5,X-ray
G3V7P1,2NPS_2,2NPS,Syntaxin 13,2.5,X-ray
P55931,2GMH_1,2GMH,Electron transfer flavoprotein-ubiquinone oxidoreductase,2.5,X-ray
P55157,6I7S_2,6I7S,Microsomal triglyceride transfer protein large subunit,2.5,X-ray
A0A679C209,7VD5_5,7VD5,Cytochrome b559 subunit alpha,2.5,EM
P0ACD8,6G94_2,6G94,Hydrogenase-1 large chain,2.5,X-ray
Q2RQ23,7OY8_1,7OY8,Light-harvesting protein B-870 beta chain,2.5,EM
A0A679C215,7VD5_19,7VD5,Photosystem II reaction center protein Z,2.5,EM
Q9UJY5,1OM9_1,1OM9,ADP-ribosylation factor binding protein GGA1,2.5,X-ray
F1RWL7,7V2H_26,7V2H,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial",2.5,EM
P69739,6G94_1,6G94,Hydrogenase-1 small chain,2.5,X-ray
Q03611,6WEL_1,6WEL,Cyclic nucleotide-gated cation channel,2.5,EM
B0C7S6,7COY_8,7COY,Photosystem I reaction center subunit IX,2.5,EM
P0A7E1,1F76_1,1F76,Dihydroorotate dehydrogenase (quinone),2.5,X-ray
Q09128,3K9V_1,3K9V,"1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial",2.5,X-ray
Q2RWS4,7OY8_3,7OY8,"Photosynthetic reaction center, H-chain",2.5,EM
Q27IM2,6FJ3_2,6FJ3,Parathyroid hormone,2.5,X-ray
Q2RQ26,7OY8_5,7OY8,Reaction center protein M chain,2.5,EM
Q8KAY0,7Z6Q_1,7Z6Q,"Photosystem P840 reaction center, large subunit",2.5,EM
A0A4X1SN37,7V2H_11,7V2H,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial",2.5,EM
B0C7S4,7COY_10,7COY,Photosystem I protein PsaL,2.5,EM
P56632,7V2H_34,7V2H,NADH-ubiquinone oxidoreductase chain 4L,2.5,EM
P41263,1IIU_1,1IIU,plasma retinol-binding protein,2.5,X-ray
P41180,7M3G_1,7M3G,Extracellular calcium-sensing receptor,2.5,EM
B0C475,7COY_2,7COY,Photosystem I P700 chlorophyll a apoprotein A2,2.5,EM
B0C5D5,7COY_5,7COY,Photosystem I reaction center subunit IV,2.5,EM
B0C474,7COY_1,7COY,Photosystem I P700 chlorophyll a apoprotein A1,2.5,EM
Q8L435,4YZI_1,4YZI,"Sensory opsin A,Archaeal-type opsin 2",2.5,X-ray
A0A4X1VPG4,7V2H_19,7V2H,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3,2.5,EM
Q8GCY3,1OLP_1,1OLP,ALPHA-TOXIN,2.5,X-ray
B0CA71,7COY_9,7COY,Photosystem I reaction center subunit PsaK,2.5,EM
Q8IEU1,2VWA_1,2VWA,PUTATIVE UNCHARACTERIZED PROTEIN PF13_0012,2.5,X-ray
Q9JI51,2NPS_3,2NPS,Vesicle transport through interaction with t-SNAREs homolog 1A,2.5,X-ray
Q2XU26,4QQQ_1,4QQQ,Pneumolysin,2.5,X-ray
Q2RQ24,7OY8_6,7OY8,"Antenna complex, alpha/beta subunit",2.5,EM
Q2RQ25,7OY8_4,7OY8,Photosynthetic reaction center L subunit,2.5,EM
A0A4X1VLA2,7V2H_8,7V2H,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7,2.5,EM
B0C7S7,7COY_6,7COY,Photosystem I protein PsaF,2.5,EM
A0A4X1V1H9,7V2H_12,7V2H,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial",2.5,EM
P0AAM1,6G94_3,6G94,Probable Ni/Fe-hydrogenase 1 B-type cytochrome subunit,2.5,X-ray
A0A4X1VD84,7V2H_23,7V2H,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3,2.5,EM
P0DXF8,5O65_1,5O65,FapF,2.5,X-ray
A0A480JRW3,7V2H_30,7V2H,NADH dehydrogenase [ubiquinone] 1 subunit C2,2.5,EM
P08754,7T10_2,7T10,Guanine nucleotide-binding protein G(i) subunit alpha-3,2.5,EM
F1SJP6,7V2H_4,7V2H,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6,2.5,EM
F1SGC6,7V2H_24,7V2H,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial",2.5,EM
F6XHE4,4G7V_3,4G7V,Voltage-sensor containing phosphatase,2.5,X-ray
U5NME9,7PIL_6,7PIL,RC-Y,2.5,EM
I3LRR4,7V2H_10,7V2H,"NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial",2.5,EM
P30874,7T10_1,7T10,"Somatostatin receptor type 2,Kappa-type opioid receptor",2.5,EM
P14283,1DAB_1,1DAB,P.69 PERTACTIN,2.5,X-ray
B6ZHE8,7VD5_13,7VD5,Extrinsic protein in photosystem II,2.5,EM
O70480,2NPS_1,2NPS,Vesicle-associated membrane protein 4,2.5,X-ray
A0A8D2CGH8,7V2H_37,7V2H,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1,2.5,EM
A0A8D1NRT6,7V2H_21,7V2H,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13,2.5,EM
I3LGM4,7V2H_20,7V2H,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11,2.5,EM
I3LDC3,7V2H_27,7V2H,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10,2.5,EM
A0A5G2QW32,7V2H_22,7V2H,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 2, mitochondrial",2.5,EM
Q9HW12,7DLU_1,7DLU,Mechanosensitive ion channel MscS,2.5,EM
Q6LZY8,4CAD_3,4CAD,"RAS AND A-FACTOR CONVERTING ENZYME 1, RCE1",2.5,X-ray
A0A679C6E8,7VD5_21,7VD5,Photosystem II reaction center protein W,2.5,EM
A0A679C6E6,7VD5_14,7VD5,Photosystem II reaction center protein T,2.5,EM
A0A679C6E3,7VD5_2,7VD5,Photosystem II CP47 reaction center protein,2.5,EM
P22483,2X2V_1,2X2V,ATP SYNTHASE SUBUNIT C,2.5,X-ray
A0A679C2A0,7VD5_12,7VD5,Photosystem II subunit,2.5,EM
P58246,4OGQ_7,4OGQ,Cytochrome b6-f complex subunit 5,2.501,X-ray
P61048,4OGQ_8,4OGQ,Cytochrome b6-f complex subunit 8,2.501,X-ray
P37277,5OY0_20,5OY0,Photosystem I reaction center subunit XI,2.501,X-ray
Q93SX1,4OGQ_2,4OGQ,Cytochrome b6-f complex subunit 4,2.501,X-ray
Q55329,5OY0_8,5OY0,Photosystem I reaction center subunit IX,2.501,X-ray
Q55330,5OY0_7,5OY0,Photosystem I reaction center subunit VIII,2.501,X-ray
P32422,5OY0_3,5OY0,Photosystem I iron-sulfur center,2.501,X-ray
Q93SW9,4OGQ_3,4OGQ,Apocytochrome f,2.501,X-ray
Q93SX0,4OGQ_4,4OGQ,Cytochrome b6-f complex iron-sulfur subunit 1,2.501,X-ray
Q8YVQ2,4OGQ_5,4OGQ,Cytochrome b6-f complex subunit 6,2.501,X-ray
P74564,5OY0_9,5OY0,Photosystem I reaction center subunit PsaK 2,2.501,X-ray
O29867,3WAJ_1,3WAJ,Transmembrane oligosaccharyl transferase,2.501,X-ray
P29256,5OY0_6,5OY0,Photosystem I reaction center subunit III,2.501,X-ray
P0A384,4OGQ_1,4OGQ,Cytochrome b6,2.501,X-ray
A9WSF5,5D91_1,5D91,"AF2299 protein,Phosphatidylinositol synthase",2.501,X-ray
P0A3Y1,4OGQ_6,4OGQ,Cytochrome b6-f complex subunit 7,2.501,X-ray
P72986,5OY0_11,5OY0,Photosystem I reaction center subunit XII,2.501,X-ray
P29254,5OY0_16,5OY0,Photosystem I P700 chlorophyll a apoprotein A1,2.501,X-ray
P12975,5OY0_5,5OY0,Photosystem I reaction center subunit IV,2.501,X-ray
P29255,5OY0_2,5OY0,Photosystem I P700 chlorophyll a apoprotein A2,2.501,X-ray
O28625,4TQ4_1,4TQ4,prenyltransferase,2.5025,X-ray
P97361,6BAQ_1,6BAQ,BPI fold-containing family A member 1,2.50260996677,X-ray
Q8RCC3,4YMU_2,4YMU,"ABC-type amino acid transport system, permease component",2.503,X-ray
Q99720,5HK1_1,5HK1,Sigma non-opioid intracellular receptor 1,2.5051,X-ray
Q9SYT0,2Q4C_1,2Q4C,Annexin D1,2.508,X-ray
P37019,1OTS_1,1OTS,Voltage-gated ClC-type chloride channel eriC,2.51,X-ray
Q44717,1G5Z_1,1G5Z,OUTER SURFACE PROTEIN C,2.51,X-ray
G0GAP6,6LEO_1,6LEO,Sulf_transp domain-containing protein,2.52,X-ray
Q8R4D5,7WRE_1,7WRE,Transient receptor potential cation channel subfamily M member 8,2.52,EM
Q9UIQ6,5MJ6_1,5MJ6,Leucyl-cystinyl aminopeptidase,2.53,X-ray
P05496,8H9S_9,8H9S,"ATP synthase F(0) complex subunit C1, mitochondrial",2.53,EM
Q9UII2,8H9S_7,8H9S,"ATPase inhibitor, mitochondrial",2.53,EM
P03928,8H9S_14,8H9S,ATP synthase protein 8,2.53,EM
P56385,8H9S_17,8H9S,"ATP synthase subunit e, mitochondrial",2.53,EM
P56381,8H9S_11,8H9S,"ATP synthase subunit epsilon, mitochondrial",2.53,EM
P56378,8H9S_13,8H9S,"ATP synthase subunit ATP5MJ, mitochondrial",2.53,EM
P18859,8H9S_2,8H9S,"ATP synthase-coupling factor 6, mitochondrial",2.53,EM
P56134,8H9S_15,8H9S,"ATP synthase subunit f, mitochondrial",2.53,EM
Q92643,7WLD_2,7WLD,GPI-anchor transamidase,2.53,EM
P06576,8H9S_5,8H9S,"ATP synthase subunit beta, mitochondrial",2.53,EM
O43292,7WLD_1,7WLD,Glycosylphosphatidylinositol anchor attachment 1 protein,2.53,EM
P00846,8H9S_12,8H9S,ATP synthase subunit a,2.53,EM
P24539,8H9S_1,8H9S,"ATP synthase F(0) complex subunit B1, mitochondrial",2.53,EM
A0QPJ4,7D6V_3,7D6V,Succinate dehydrogenase (Membrane anchor subunit),2.53,EM
Q8NET8,7XJ0_1,7XJ0,Fusion protein of Transient receptor potential cation channel subfamily V member 3 and 3C-GFP,2.53,EM
P25705,8H9S_4,8H9S,"ATP synthase subunit alpha, mitochondrial",2.53,EM
Q9H490,7WLD_5,7WLD,Phosphatidylinositol glycan anchor biosynthesis class U protein,2.53,EM
O75964,8H9S_16,8H9S,"ATP synthase subunit g, mitochondrial",2.53,EM
O75947,8H9S_3,8H9S,"ATP synthase subunit d, mitochondrial",2.53,EM
Q969N2,7WLD_4,7WLD,GPI transamidase component PIG-T,2.53,EM
P36542,8H9S_6,8H9S,"ATP synthase subunit gamma, mitochondrial",2.53,EM
D3ZJP6,3TFM_1,3TFM,Myosin X,2.53,X-ray
Q96S52,7WLD_3,7WLD,GPI transamidase component PIG-S,2.53,EM
P30049,8H9S_10,8H9S,"ATP synthase subunit delta, mitochondrial",2.53,EM
P48047,8H9S_8,8H9S,"ATP synthase subunit O, mitochondrial",2.53,EM
P50897,3GRO_1,3GRO,Palmitoyl-protein thioesterase 1,2.53,X-ray
Q9RRB6,7ZGY_1,7ZGY,S-layer protein SlpA,2.54,EM
P26876,1EX9_1,1EX9,LACTONIZING LIPASE,2.54,X-ray
P20474,5TFV_1,5TFV,Basic phospholipase A2 myotoxin III,2.54,X-ray
Q9RWM2,8ACQ_2,8ACQ,"DR_0644, only-Cu Superoxide Dismutase",2.54,EM
Q9P0U1,7VBY_4,7VBY,Mitochondrial import receptor subunit TOM7 homolog,2.54,EM
Q75VY9,7BGI_13,7BGI,"Chlorophyll a-b binding protein, chloroplastic",2.54,EM
O96008,7VBY_1,7VBY,Translocase of the Outer Membrane,2.54,EM
Q38YH5,7XNO_3,7XNO,Mannose permease IID component,2.54,EM
Q38YH6,7XNO_2,7XNO,Mannose permease IIC component,2.54,EM
Q96B49,7VBY_2,7VBY,Mitochondrial import receptor subunit TOM6 homolog,2.54,EM
Q9NS69,7VBY_5,7VBY,Mitochondrial import receptor subunit TOM22 homolog,2.54,EM
Q8N4H5,7VBY_3,7VBY,Mitochondrial import receptor subunit TOM5 homolog,2.54,EM
Q8BS40,4KBR_1,4KBR,Glycolipid transfer protein domain-containing protein 1,2.547,X-ray
P01443,4OM5_1,4OM5,Cytotoxin 4,2.55,X-ray
P18507,6X3T_3,6X3T,Gamma-aminobutyric acid type A receptor subunit gamma-2,2.55,EM
P55011,7ZGO_1,7ZGO,Solute carrier family 12 member 2,2.55,EM
A0KLE1,6H2F_1,6H2F,AhlB,2.55,X-ray
Q9Y5W7,4BGJ_1,4BGJ,SORTING NEXIN-14,2.55,X-ray
P48736,3ML9_1,3ML9,"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",2.55,X-ray
P47870,6X3T_1,6X3T,Gamma-aminobutyric acid receptor subunit beta-2,2.55,EM
P14867,6X3T_2,6X3T,Gamma-aminobutyric acid receptor subunit alpha-1,2.55,EM
P0AF16,7WAG_1,7WAG,Lipid II flippase MurJ,2.55,X-ray
O60895,7TYX_1,7TYX,Receptor activity-modifying protein 2,2.55,EM
Q9X721,2Y3U_1,2Y3U,COLLAGENASE,2.55,X-ray
P44046,5K8K_1,5K8K,"UDP-2,3-diacylglucosamine hydrolase",2.55,X-ray
Q9RP17,1P4T_1,1P4T,outer membrane protein NspA,2.55,X-ray
Q63GK8,5IWS_1,5IWS,Protein-N(Pi)-phosphohistidine-sugar phosphotransferase (Enzyme II of the phosphotransferase system) (PTS system glucose-specific IIBC component),2.551,X-ray
Q9NP55,5I7K_1,5I7K,BPI fold-containing family A member 1,2.552,X-ray
P71070,6Z0F_1,6Z0F,ESX secretion system protein YukC,2.553,X-ray
P13487,4JTC_3,4JTC,Potassium channel toxin alpha-KTx 1.1,2.56,X-ray
Q51487,1WP1_1,1WP1,Outer membrane protein oprM,2.56,X-ray
P15387,4JTC_2,4JTC,"Potassium voltage-gated channel subfamily A member 2, Potassium voltage-gated channel subfamily B member 1",2.56,X-ray
C6K7N1,7JZ3_1,7JZ3,Outer membrane protein C,2.56,EM
P20309,8EA0_1,8EA0,Muscarinic acetylcholine receptor M3,2.56,EM
P60468,8DNZ_2,8DNZ,Protein transport protein Sec61 subunit beta,2.57,EM
O13154,4BNE_1,4BNE,PROTEIN KINASE C AND CASEIN KINASE SUBSTRATE IN NEURONS PROTEIN 2,2.57,X-ray
P0DJJ9,6AL3_1,6AL3,Basic phospholipase A2 BP-II,2.57,X-ray
P61619,8DNZ_3,8DNZ,Protein transport protein Sec61 subunit alpha isoform 1,2.57,EM
P60059,8DNZ_1,8DNZ,Protein transport protein Sec61 subunit gamma,2.57,EM
